IP,PORT,匿名度,类型,位置,响应速度,最后验证时间
125.67.74.248,9000,高匿名,HTTP,中国 四川省 遂宁市 电信,3秒,2017-08-21 12:31:17,
111.155.116.203,8123,高匿名,HTTP,中国 陕西省  铁通,3秒,2017-08-21 11:31:31,
117.90.3.226,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-08-21 10:31:35,
121.232.144.81,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.8秒,2017-08-21 09:31:30,
122.243.6.91,8998,高匿名,HTTP,中国 浙江省 金华市 电信,2秒,2017-08-21 08:31:33,
121.10.1.182,8080,高匿名,HTTP,中国 广东省 东莞市 电信,2秒,2017-08-21 07:31:24,
118.117.139.144,9000,高匿名,HTTP,中国 四川省 遂宁市 电信,2秒,2017-08-21 06:31:25,
118.117.139.86,9000,高匿名,HTTP,中国 四川省 遂宁市 电信,2秒,2017-08-21 05:31:03,
121.232.145.65,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-08-21 04:31:32,
171.215.226.193,9000,高匿名,HTTP,中国 四川省 遂宁市 电信,1秒,2017-08-21 03:31:19,
121.232.145.253,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-08-21 02:31:30,
117.90.5.76,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.3秒,2017-08-21 01:31:21,
182.87.39.44,9000,高匿名,HTTP,中国 江西省 抚州市 电信,3秒,2017-08-21 00:31:27,
111.74.56.247,9000,高匿名,HTTP,江西省赣州市  电信,2秒,2017-08-20 23:31:10,
43.240.138.31,8080,高匿名,HTTP,中国 北京市 北京市,1秒,2017-08-20 22:31:25,
144.255.160.88,808,高匿名,HTTP,中国 山东省 临沂市 电信,2秒,2017-08-13 08:47:34,
121.232.147.81,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-08-13 07:47:31,
121.232.144.176,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-08-13 06:47:36,
218.89.97.132,9000,高匿名,HTTP,中国 四川省 遂宁市 电信,0.7秒,2017-08-13 05:47:41,
121.232.145.253,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-08-13 04:47:32,
223.240.209.206,3128,高匿名,HTTP,中国 安徽省 合肥市 电信,0.5秒,2017-08-13 03:47:37,
121.31.159.72,8123,高匿名,HTTP,广西壮族自治区北海市  联通,3秒,2017-08-13 02:47:38,
183.31.216.109,9999,高匿名,HTTP,中国 广东省 珠海市 电信,0.5秒,2017-08-13 01:47:34,
121.232.148.201,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-08-13 00:47:25,
121.232.147.185,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-08-12 23:47:31,
114.230.31.240,3128,高匿名,HTTP,中国 江苏省 扬州市 电信,3秒,2017-08-12 22:47:37,
180.118.33.156,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-08-12 21:47:17,
60.178.171.100,8081,高匿名,HTTP,中国 浙江省 宁波市 电信,1秒,2017-08-12 20:47:16,
121.232.144.250,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-08-12 19:47:23,
122.193.14.105,82,高匿名,HTTP,中国 江苏省 南京市 联通,3秒,2017-08-12 18:47:25,
110.73.48.68,8123,高匿名,HTTP,中国 广西壮族自治区 防城港市 联通,1秒,2017-08-05 20:45:38,
121.232.144.64,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.8秒,2017-08-05 19:46:06,
110.73.8.53,8123,高匿名,HTTP,广西壮族自治区南宁市  联通,3秒,2017-08-05 18:45:19,
60.178.5.253,8081,高匿名,HTTP,中国 浙江省 宁波市 电信,1秒,2017-08-05 17:46:04,
110.73.51.213,8123,高匿名,HTTP,中国 广西壮族自治区 防城港市 联通,3秒,2017-08-05 16:45:16,
110.73.8.58,8123,高匿名,HTTP,广西壮族自治区南宁市  联通,0.4秒,2017-08-05 15:45:53,
121.31.103.238,8123,高匿名,HTTP,广西壮族自治区防城港市  联通,2秒,2017-08-05 14:45:51,
121.232.147.151,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-08-05 13:46:04,
121.232.146.202,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-08-05 12:46:05,
122.96.59.103,80,高匿名,HTTP,江苏省南京市 联通,3秒,2017-08-05 11:46:00,
121.31.103.51,8123,高匿名,HTTP,广西壮族自治区防城港市  联通,3秒,2017-08-05 10:45:41,
121.232.199.19,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-08-05 09:45:20,
101.4.136.34,81,高匿名,HTTP,中国 北京市 北京市 教育网,0.4秒,2017-08-05 08:45:58,
118.117.137.46,9000,高匿名,HTTP,中国 四川省 遂宁市 电信,3秒,2017-08-05 07:46:05,
125.85.186.118,8998,高匿名,HTTP,中国 重庆市 重庆市 电信,2秒,2017-08-05 06:45:59,
121.232.146.150,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-07-28 17:42:54,
117.90.1.146,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-07-28 16:44:22,
120.77.206.98,8118,高匿名,HTTP,中国 广东省 深圳市 阿里云,1秒,2017-07-28 15:44:15,
183.147.16.133,9000,高匿名,HTTP,浙江省金华市  电信,3秒,2017-07-28 14:44:08,
60.186.41.160,9000,高匿名,HTTP,中国 浙江省 杭州市 电信,1秒,2017-07-28 13:44:23,
182.141.41.201,9000,高匿名,HTTP,中国 四川省 遂宁市 电信,2秒,2017-07-28 12:44:23,
116.28.109.64,808,高匿名,HTTP,中国 广东省 中山市 电信,1秒,2017-07-28 11:44:24,
121.31.152.178,8123,高匿名,HTTP,广西壮族自治区北海市  联通,2秒,2017-07-28 10:44:06,
59.66.202.98,1080,高匿名,HTTP,中国 北京市 北京市 教育网,1秒,2017-07-28 09:44:10,
110.73.4.93,8123,高匿名,HTTP,广西壮族自治区南宁市  联通,2秒,2017-07-28 08:44:26,
110.73.40.102,8123,高匿名,HTTP,广西壮族自治区南宁市  联通,0.5秒,2017-07-28 07:44:12,
118.117.136.82,9000,高匿名,HTTP,中国 四川省 遂宁市 电信,3秒,2017-07-28 06:44:17,
121.232.145.5,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.9秒,2017-07-28 05:43:24,
110.73.0.233,8123,高匿名,HTTP,广西壮族自治区南宁市  联通,2秒,2017-07-28 04:44:05,
111.74.56.247,9000,高匿名,HTTP,江西省赣州市  电信,0.4秒,2017-07-28 03:44:14,
180.119.65.25,3128,高匿名,HTTP,中国 江苏省 扬州市 电信,2秒,2017-07-19 23:42:39,
121.31.147.77,8123,高匿名,HTTP,广西壮族自治区北海市  联通,3秒,2017-07-19 22:42:35,
122.112.230.18,8080,高匿名,HTTP,中国 北京市 北京市,1秒,2017-07-19 21:42:37,
121.232.147.34,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.4秒,2017-07-19 20:42:42,
123.169.90.229,808,高匿名,HTTP,中国 山东省 淄博市 电信,秒,2017-07-19 19:42:31,
180.173.109.149,8118,高匿名,HTTP,中国 上海市 上海市 电信,2秒,2017-07-19 18:42:41,
121.232.147.130,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-07-19 17:42:29,
122.112.230.18,8080,高匿名,HTTP,中国 北京市 北京市,1秒,2017-07-19 16:42:02,
121.232.147.250,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-07-19 15:42:23,
59.62.6.93,9000,高匿名,HTTP,江西省萍乡市  电信,1秒,2017-07-19 14:42:13,
111.155.116.221,8123,高匿名,HTTP,中国 陕西省  铁通,1秒,2017-07-19 13:42:23,
121.232.147.28,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-07-19 12:42:34,
171.215.241.87,9000,高匿名,HTTP,中国 四川省 遂宁市 电信,3秒,2017-07-19 11:42:26,
118.117.138.101,9000,高匿名,HTTP,中国 四川省 遂宁市 电信,2秒,2017-07-19 10:42:24,
60.178.3.2,8081,高匿名,HTTP,中国 浙江省 宁波市 电信,1秒,2017-07-19 09:42:35,
58.217.255.184,1080,高匿名,HTTP,中国 江苏省 南京市 电信,0.4秒,2017-07-11 20:40:55,
114.115.217.19,80,高匿名,HTTP,中国 辽宁省 朝阳市,3秒,2017-07-11 19:40:42,
120.25.200.59,8118,高匿名,HTTP,中国 广东省 深圳市 阿里云,2秒,2017-07-11 18:40:35,
121.232.146.145,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-07-11 17:40:59,
121.232.148.138,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-07-11 16:40:47,
59.110.106.22,8998,高匿名,HTTP,中国 北京市 北京市 阿里云,3秒,2017-07-11 15:40:35,
125.117.132.82,9000,高匿名,HTTP,浙江省金华市  电信,0.4秒,2017-07-11 14:40:53,
121.232.145.34,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-07-11 13:40:38,
121.232.147.134,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-07-11 12:40:34,
121.232.145.7,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.9秒,2017-07-11 11:40:17,
121.232.144.60,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-07-11 10:40:55,
221.230.7.54,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1.0秒,2017-07-11 09:40:44,
121.232.148.143,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-07-11 08:40:40,
125.118.74.131,808,高匿名,HTTP,中国 浙江省 杭州市 电信,3秒,2017-07-11 07:40:55,
121.232.146.140,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-07-11 06:40:31,
182.129.240.213,9000,高匿名,HTTP,中国 四川省 遂宁市 电信,1秒,2017-07-03 17:39:16,
114.115.217.19,80,高匿名,HTTP,中国 辽宁省 朝阳市,1秒,2017-07-03 16:39:09,
117.90.3.40,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.5秒,2017-07-03 15:39:15,
119.254.84.90,80,高匿名,HTTP,中国 北京市 北京市 华瑞信通,2秒,2017-07-03 14:39:02,
121.232.145.188,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-07-03 13:39:20,
182.254.246.215,8123,高匿名,HTTP,中国 上海市 上海市 腾讯网络,2秒,2017-07-03 12:39:16,
27.213.97.244,8889,高匿名,HTTP,中国 山东省 烟台市 联通,0.8秒,2017-07-03 11:39:04,
124.72.216.247,808,高匿名,HTTP,中国 福建省 福州市 电信,0.9秒,2017-07-03 10:39:12,
182.43.170.169,808,高匿名,HTTP,中国 山东省 德州市 电信,3秒,2017-07-03 09:38:41,
117.90.3.201,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-07-03 08:39:04,
120.25.200.59,8118,高匿名,HTTP,中国 广东省 深圳市 阿里云,1秒,2017-07-03 07:39:15,
121.31.146.28,8123,高匿名,HTTP,广西壮族自治区北海市  联通,2秒,2017-07-03 06:39:11,
125.118.76.3,808,高匿名,HTTP,中国 浙江省 杭州市 电信,2秒,2017-07-03 05:39:01,
121.232.147.135,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.7秒,2017-07-03 04:39:13,
1.87.145.85,8998,高匿名,HTTP,中国 陕西省 商洛市 电信,3秒,2017-07-03 03:38:53,
117.90.5.97,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-06-25 14:37:28,
123.96.169.191,808,高匿名,HTTP,中国 浙江省 舟山市 电信,1秒,2017-06-25 13:37:39,
121.31.89.162,8123,高匿名,HTTP,中国 广西壮族自治区 梧州市 联通,2秒,2017-06-25 12:37:15,
117.90.0.155,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-06-25 11:37:38,
58.251.250.165,8118,高匿名,HTTP,中国 广东省 深圳市 联通,3秒,2017-06-25 10:37:40,
222.134.169.76,808,高匿名,HTTP,中国 山东省 枣庄市 联通,0.5秒,2017-06-25 09:37:30,
183.158.211.184,9000,高匿名,HTTP,中国 浙江省 杭州市 电信,2秒,2017-06-25 08:37:35,
183.166.203.133,808,高匿名,HTTP,中国 安徽省 亳州市 电信,2秒,2017-06-25 07:37:34,
139.196.196.74,80,高匿名,HTTP,中国 上海市 上海市 阿里云,0.7秒,2017-06-25 06:37:38,
114.99.12.40,9000,高匿名,HTTP,中国 安徽省 铜陵市 电信,1秒,2017-06-25 05:37:36,
175.155.138.109,808,高匿名,HTTP,中国 四川省 绵阳市 联通,2秒,2017-06-25 04:37:37,
121.10.1.181,8080,高匿名,HTTP,中国 广东省 东莞市 电信,3秒,2017-06-25 03:37:37,
121.12.170.233,8998,高匿名,HTTP,中国 广东省 东莞市 电信,2秒,2017-06-25 02:37:35,
122.193.14.108,843,高匿名,HTTP,中国 江苏省 南京市 联通,2秒,2017-06-25 01:37:31,
183.32.4.212,8998,高匿名,HTTP,中国 广东省 中山市 电信,0.4秒,2017-06-25 00:37:36,
125.89.122.252,3128,高匿名,HTTP,中国 广东省 河源市 电信,2秒,2017-06-17 11:36:01,
117.90.1.70,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-06-17 10:36:01,
220.165.26.231,8998,高匿名,HTTP,中国 云南省 怒江傈僳族自治州 电信,3秒,2017-06-17 09:35:58,
182.37.117.200,808,高匿名,HTTP,中国 山东省 日照市 电信,2秒,2017-06-17 08:36:01,
202.197.127.139,1209,高匿名,HTTP,中国 湖南省 长沙市 教育网,3秒,2017-06-17 07:35:59,
111.26.201.211,8998,高匿名,HTTP,中国 吉林省 吉林市 移动,3秒,2017-06-17 06:35:59,
182.246.17.136,8998,高匿名,HTTP,中国 云南省 红河哈尼族彝族自治州 电信,1秒,2017-06-17 05:35:51,
121.232.145.252,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-06-17 04:35:56,
117.90.6.207,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-06-17 03:35:54,
117.90.1.0,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-06-17 02:35:53,
59.62.28.208,9000,高匿名,HTTP,江西省萍乡市  电信,2秒,2017-06-17 01:35:43,
117.90.0.126,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.8秒,2017-06-17 00:35:57,
122.228.179.178,80,高匿名,HTTP,中国 浙江省 温州市 电信,2秒,2017-06-16 23:35:41,
117.90.4.157,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1.0秒,2017-06-16 22:35:51,
121.232.146.194,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-06-16 21:35:48,
117.90.4.158,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-06-09 08:39:21,
117.90.1.172,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-06-09 07:39:30,
60.178.131.206,8081,高匿名,HTTP,中国 浙江省 宁波市 电信,1秒,2017-06-09 06:39:31,
183.78.182.228,8081,高匿名,HTTP,中国 北京市 北京市 电信,1秒,2017-06-09 05:39:24,
60.178.138.37,8081,高匿名,HTTP,中国 浙江省 宁波市 电信,2秒,2017-06-09 04:39:31,
119.254.84.90,80,高匿名,HTTP,中国 北京市 北京市 华瑞信通,2秒,2017-06-09 03:39:24,
110.81.193.39,8998,高匿名,HTTP,中国 福建省 泉州市 电信,0.9秒,2017-06-09 02:39:27,
117.90.7.244,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-06-09 01:39:29,
60.178.2.229,8081,高匿名,HTTP,中国 浙江省 宁波市 电信,2秒,2017-06-09 00:39:26,
117.90.3.83,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-06-08 23:39:28,
110.188.35.194,8998,高匿名,HTTP,中国 四川省 成都市 电信,2秒,2017-06-08 22:39:07,
118.26.183.215,8080,高匿名,HTTP,中国 北京市 北京市,3秒,2017-06-08 21:39:18,
210.44.213.63,1080,高匿名,HTTP,中国 山东省 济南市 教育网,2秒,2017-06-08 20:39:19,
223.14.202.232,808,高匿名,HTTP,中国 山西省 太原市 电信,3秒,2017-06-08 19:39:19,
117.68.66.18,8998,高匿名,HTTP,中国 安徽省 六安市 电信,3秒,2017-06-08 18:39:17,
121.232.147.24,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2017-06-01 05:37:51,
121.232.147.177,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.3秒,2017-06-01 04:36:51,
1.60.142.60,9000,高匿名,HTTP,黑龙江省伊春市  联通,1秒,2017-06-01 03:37:39,
117.90.4.107,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2017-06-01 02:37:28,
121.237.139.180,808,高匿名,HTTP,中国 江苏省 南京市 电信,1秒,2017-06-01 01:37:35,
218.31.5.161,8123,高匿名,HTTP,中国 新疆维吾尔自治区 自治区直辖县级行政区划 电信,0.9秒,2017-06-01 00:37:46,
121.232.144.205,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,1秒,2017-05-31 23:37:44,
